sim_nr,GDP_1st,GDP_2nd,GDP_3rd,GDP_4th,acorr_GDP,U_1st,U_2nd,dU_1st,dU_2nd,dU_3rd,dU_4th,corr_GDP_dU,GINI_I_1st,GINI_I_2nd,GINI_W_1st,GINI_W_2nd,LP_g_1st,LP_g_2nd,EE_g_1st,EE_g_2nd,EF_g_1st,EF_g_2nd,FGT_1st,FGT_2nd,em2030,em2040,em2050
3678,-0.028514741377276474,0.9802393642907289,-0.6373675794992039,1.3778905101115768,0.3540572385144464,0.02208310249307479,0.00010463796368113265,9.889643252063895,2675.240704817471,1.5885854131783081,4.6008427888844246,-0.21815746585823972,0.12820458894427364,6.2584306114595665e-6,0.2480388446382463,1.8739223145062043e-6,-0.07361709283370242,0.01315629302147194,-0.017118779239935565,0.0008715802890066683,0.0026930808031354267,0.0009100450465782633,0.0,0.0,110.82182865742104,116.25798449180502,122.69750654050233
3679,0.10899341950903706,0.32217487210634954,-0.2686656930415028,0.36206567359908437,0.4803476863068645,0.0,0.0,NaN,NaN,NaN,NaN,NaN,0.1305661537759002,5.660404919301846e-6,0.432459371849288,0.009003582155969152,-0.12652786482906514,0.07220127117624281,0.008814541491595669,0.0007131981056579935,0.01195193151661402,0.0009304144540253434,0.0,0.0,129.30356795275637,150.7861392776181,180.04237551593914
3680,0.5932819482827721,19.36258303981071,-3.3748398124806602,16.131763662675098,0.7962070187012689,0.022247091412742382,0.0073062858873499574,NaN,NaN,NaN,NaN,NaN,0.16973001862290518,0.00015364882670466424,0.35769069483641375,0.03558468465589268,-0.021985269244211646,0.2239317022683038,-0.0011196621116069867,0.001412201760672821,0.0018902530035887985,0.0019803573442014476,0.0008500301777920971,2.2913874396551888e-5,55.54361706401628,121.80914688471937,133.22152054162848
3681,0.38329626058841565,1.6665555829054262,0.09710410585935683,1.0725208460684206,0.13098059136530793,0.004657063711911357,1.6680401354262853e-5,NaN,NaN,NaN,NaN,NaN,0.09002954975676604,0.00017051371160730998,0.17542005817698547,5.556298721886564e-5,-0.012320639250059044,0.005053499205034008,-0.0006256894291895327,9.961048363495862e-5,0.0012499839923057565,0.0001133523657735037,0.0,0.0,100.77566452988424,101.06488330876132,102.73088702670698
3682,0.024856086972347185,17.71493719747663,-1.560826028626248,7.553621820098959,0.8479560841834646,0.08866371191135736,0.030234673373961227,NaN,NaN,NaN,NaN,NaN,0.06803713938160785,9.48655171796953e-5,0.5761803899395733,0.08709440613964123,-0.03341993608609948,0.003373317345795416,0.0009997731570199973,0.00010002981629454697,-0.00016692621248340776,4.224014840432559e-5,0.014627034043107268,0.0011132458648439258,52.37267783295585,108.34214364735745,113.89386311022939
3683,0.03834308618444833,1.2568310542691528,0.018444166012329156,0.5636692703615522,0.7194252500442937,0.13919889196675903,3.692399876885196e-5,0.0867393308119848,9.451226009304891,0.4282763401994325,3.7401611786586733,-0.8383676138538019,0.08110763835841367,3.86004473730764e-6,0.13200145994057066,8.397736853403319e-5,-0.17186126815610997,0.004182815882629364,0.007769789305123203,0.00042757883502401664,0.011044056851525423,0.0005786043836363053,1.1825705478397642e-5,6.164094077344638e-10,122.98697870884786,148.9861974114717,180.17128462051403
3684,0.02780100361458368,14.32552683732761,-3.136591255267597,15.373320261084508,0.887253411088267,0.1838803324099723,0.05463366563988917,NaN,NaN,NaN,NaN,NaN,0.08906488808093432,3.790745262463612e-5,0.6598214268236603,0.0843331061887147,-0.10563815575544924,0.021061121548741707,-0.021276314335127708,0.0007444261625190632,0.016939552425408455,0.0005967911037389302,0.03224966858126116,0.002231132807515453,112.79803271468644,58.79165204491139,128.6706604426439
3685,0.19826778014606541,8.059744387791342,-0.05830039869979106,1.0140549887348698,0.3004825391300783,0.0015368421052631579,1.2207999999999996e-5,NaN,NaN,NaN,NaN,NaN,0.18156254525878662,0.000113660152124992,0.2847717709295943,0.0009865690573969148,-0.06063269594816053,0.1631891720587198,-0.005632977288486497,0.0027408414716265776,0.007126060678336858,0.007966795025667129,1.8706909777812304e-11,1.2606955272038223e-19,106.92215091542616,114.94285465764303,123.83367787778757
3686,0.03743313412398904,1.6076864024078645,0.2681993467167559,0.8340019813777899,0.19246207439715315,0.01053296398891967,1.678760480147738e-5,20.091402807698977,12215.129340097945,7.86232717612181,87.31816260618847,-0.035334563933550514,0.053333175417733775,7.200716727472813e-7,0.11917117109040876,4.5902161240555e-5,-0.14351775460794716,0.013228230081364225,-0.0034523297951311463,0.0011263677755644836,0.008107736393973868,0.0011598843932926854,0.0,0.0,111.97678636493268,136.8089600120568,159.54422977976841
3687,0.13647207228634886,5.228067695933487,0.23697805205721495,1.3932395475044954,0.19729368463914124,0.0007268698060941827,4.1528593413357955e-6,NaN,NaN,NaN,NaN,NaN,0.15686595077993373,7.019772785626744e-6,0.22286678525710174,8.02657720660344e-6,-0.05116453304631187,0.01973155369433487,-0.022579656059468725,0.003939390777030216,0.026008017976078854,0.004836729031294993,0.0,0.0,99.56841518420721,96.46628436282859,96.6147633625978
