sim_nr,GDP_1st,GDP_2nd,GDP_3rd,GDP_4th,U_1st,U_2nd,GINI_I_1st,GINI_I_2nd,GINI_W_1st,GINI_W_2nd,LP_g_1st,LP_g_2nd,EE_g_1st,EE_g_2nd,EF_g_1st,EF_g_2nd,FGT_1st,FGT_2nd,em2030,em2040,em2050
17536,-0.0007133333595372964,0.00020812730333413814,-0.216102016343107,0.7680070653731383,0.3278060941828254,0.0048891378516466594,0.06197679929970746,6.041300708883722e-6,0.13026239380384677,1.9534467444493635e-5,-0.29492387309502116,0.13204494992198454,-0.012057939495110468,0.002316087957005363,0.06213213745378531,0.012820941085172918,0.08595452799020156,0.001246637693280033,129.0716264380747,147.70994188962146,174.2208137518359
17537,0.0020614520063028823,0.0009104612765429233,0.3095304268917544,2.0328556108927485,0.0027102493074792245,0.00019827147799322868,0.16128710962619408,0.00018947713981282247,0.44823902845341973,0.011147346511355617,-0.049667753911421544,0.24951398421805468,-0.00037039214998792956,0.002792513319774667,0.0008184560600406402,0.0008691771826742158,8.664789278467591e-5,2.229257249356366e-7,126.76167409701712,155.73762663318556,173.97508890575813
17538,-0.00026773531007256426,2.5943383022898993e-5,-0.8896387980294285,3.1593758261121385,0.4741207756232687,0.0003420853727300709,0.19012560792298322,9.435456032806646e-6,0.317366910601195,3.8146169738757335e-5,-0.45167271363804573,0.9538027307241232,0.019294646741504013,0.007613762582534869,0.01304159856197794,0.014199662767682085,0.15050211348905665,5.992117671575904e-5,136.86511639769745,158.40985615604563,165.92366074138278
17539,0.0008073574534392292,0.0007656532452820662,0.225245713744414,6.160872076866898,0.007899168975069253,0.0009514409159741453,0.15374128533766926,0.00031730085014089547,0.3103453887870407,0.01426879371729448,-0.0624780263419012,4.231664545367154,-0.002664284652732236,0.0187713479663785,0.002045768428981575,0.05663419889127652,0.00044806333856858117,7.20557583861545e-6,129.27847929946256,208.7676870133305,221.44888753966796
17540,-0.00028648257901289255,9.776209086645792e-5,0.08582178712524612,0.4190072606622035,0.19558116343490303,0.0019691405330871034,0.2522294230535327,0.00047796403458830877,0.3948976175461981,0.0009149525154631304,-0.2645963713016093,0.5327572025450887,0.01613876543359924,0.008346382917323368,-0.00035949669530016423,0.008043616994743357,0.01273937288251408,2.0291480415970388e-5,112.87209230287768,150.40146659680286,243.06141002289044
17541,-0.00029141699006977347,2.6620154879265194e-5,0.010858901226959643,0.5326742170173784,0.5393806094182825,0.0006357677340720222,0.07192289302480809,9.955280736457598e-6,0.20123706719454418,2.487552711867483e-5,-0.31154192991506935,0.48660921540426094,-0.0003599940537335498,0.015251716085260467,0.03241362174207268,0.022860984182879365,0.17253041222553042,0.00034555265620569216,133.59575904360844,163.22241955592972,263.3146676867861
17542,-8.042747215104606e-5,0.0007509484117219921,-0.21521289592350157,0.2386079986294467,0.5582847645429363,0.0007284746839027395,0.033552477870317295,1.0869396020306326e-5,0.13320374687738304,0.00015439254930563385,-0.7043869144277901,2.551863944107182,-0.0036251146908744493,0.05130535710134516,0.007176605660710697,0.08747400225739603,0.19955565121674845,1.440844553606311e-5,181.44407943511123,565.1869195752254,1303.426353285109
17543,0.00029903822936086304,0.0006942156632964244,0.21963089825677115,0.559128355662216,0.00040664819944598334,6.729733456448137e-6,0.10945739892411599,3.8029606241605946e-5,0.2174973830640956,0.00035660344185179066,-0.023972649361544644,0.08110674076583249,-0.0004360161803136377,0.00013921119171872014,0.00037778849374988407,0.0004924244065417809,1.5045974065192736e-5,8.604283499201175e-9,113.96119988717444,123.85691924208169,140.3742638332264
17544,-0.00047748966945049373,0.00018945912978705106,0.20587685334813516,2.4068028801430223,0.5597240997229916,0.00043152411203447216,0.05232282363583954,5.5695295366927715e-6,0.19982781474018801,4.156188154656554e-5,-0.8215976878789621,1.5118161272628017,-0.029805560699712283,0.030747502861854115,0.03750770869912619,0.0729727673832726,0.18450635843917865,1.1190284677756045e-5,239.85858328068937,475.96915472117064,1348.2793010715452
17545,0.00011633458309476067,0.0003339699917039021,0.0324446868866296,0.10026826850095105,0.5076919667590027,0.00041813240751000305,0.04373594848717138,5.830052892908357e-6,0.16539545279737242,5.3544447313806385e-5,-0.3444482681182134,7.896664374633152,-0.019623192875697065,0.035635647874309506,-0.015369889426134677,0.025859449754269043,0.18690797162607908,7.217457395607356e-6,170.99264933549702,305.9467752785201,468.75768788857863
17546,-3.048245181912942e-5,4.187019181245116e-5,-0.20732253764838954,0.07305761677958333,0.5245817174515236,1.5779331486611285e-5,0.18095075413913697,1.641511172391202e-5,0.33717870580647663,6.632525782606001e-6,-0.5041124928720211,1.1373007816788487,-0.007143748890133986,0.01615995208196478,0.032372567939729376,0.05644452993604987,0.15367138974852487,1.9359233925086436e-7,176.0368825998564,328.6675665226438,525.5686823268496
17547,1.0191868888364662e-6,1.9234965149209037e-5,-0.9733485026496125,1.7295907454359432,0.18415512465373965,2.9589202831640505e-5,0.17184890694372043,6.0191928642791425e-6,0.24460086342499257,1.0706465147306034e-5,-0.5965566191319511,0.042387312646389744,0.0296481045487274,0.009033907740189223,0.01473562677825455,0.020472719681209964,0.02277375809920364,2.392765818074431e-6,201.7429344411943,334.0979888414143,614.0047296211653
17548,0.00023091958102785536,0.0005568982630902417,-0.5835244578253387,4.968403355542893,0.4284986149584487,0.0004685266925207757,0.04628650533137946,1.3290017396282758e-5,0.15930454177579179,0.0006611995814309777,-0.07071354777438521,0.3199887031024602,-0.005540892739014496,0.002749381850872895,0.005320197466507093,0.001944137110136197,0.18070902138412318,9.07379715443449e-6,107.81247099662954,120.59993864647666,129.56647659797815
