GDP,GDP_I,GDP_cp,GDP_kp,CPI,M,M_hh,M_cp,M_kp,M_gov,Deb_tot,Deb_cp,Deb_kp,UR,Exp_UB,s_avg,s_std,w_avg,w_std,wr_avg,wr_std,ws_avg,ws_std,I_avg,I_std,dL_avg,dL_std,dL_cp_avg,dL_kp_avg,EI_avg,RS_avg,avg_pi,avg_A,avg_B,avg_Q_bp,avg_Q_lp,avg_Q_kp
253282.90028036456,229746.19749947972,20797.39824804603,2739.3045328388043,97.31124124512466,573775.0735313145,153042.86306842946,241029.44883369296,87567.64661489552,92135.11501429646,558.8683348238108,558.8683348238108,0.0,0.27984031936127746,49070.0,0.09074339592926527,0.14093598406965277,1.0076407050102518,0.02813930268529617,1.0896596795429518,0.0948815351044621,1.0047817182107566,0.015530999109856808,91.89847899979189,13.808652694252018,-45.52126885973345,373.65582793007013,-63.0,24.39365570133274,89.44567447976414,66.4125,1.0288773854490194,1.0756886443323352,1.0386065444933112,801.5543934451495,797.355854784231,361.63550049166486
253668.45154707565,229433.24263233622,21216.36771113463,3018.8412036047825,96.93082361330842,583768.7828190918,150381.0564744348,246304.45675997873,91341.19811940151,95742.07146527682,326.1503821182038,326.1503821182038,0.0,0.2807507987220447,49210.0,0.09593442792114469,0.13131536334091273,1.007332471678317,0.027642365234474966,1.0961233936079908,0.10181549361321943,1.0057062115782136,0.017890418556267645,91.77329705293448,13.652330674924126,-38.51011709577614,402.9172888408061,-61.0,51.44941452111931,84.96399783519992,77.0,1.0334572169152387,1.0857275436973912,1.0423735580795777,826.7356399042967,777.7331610082853,398.79449367096595
253398.38483855582,229052.80768400076,21689.22536541358,2656.351789141495,96.39094457118853,596374.1774621131,147865.5299617484,255920.1841433866,94661.63785582836,97926.82550114971,163.07519105910188,163.07519105910188,0.0,0.28833865814696485,50540.0,0.10154838272332285,0.12427874067643584,1.0078988352123597,0.027516130590877055,1.0998120696926537,0.10809731876128485,1.0062755054039594,0.01824546298461896,91.6211230736003,13.850837539899315,-48.05562171901504,367.49385758644235,-72.0,47.72189140492473,83.42784454536586,72.6,1.039723975044291,1.0997626405664591,1.0533177439613473,795.674796707274,805.8473799701055,356.2352391462898
250771.7933129568,228878.41377884356,19547.701835973443,2345.6776981398048,95.88717522730268,601527.8716504528,145676.47942614992,258981.6229983269,97593.73497850311,99276.0342474729,0.0,0.0,0.0,0.29113418530351437,51030.0,0.10812972262303056,0.11767125176193902,1.0078389993743373,0.026036502210339967,1.1027038128828492,0.1143079843228524,1.0070403231477287,0.01939118590130436,91.55136551153743,13.886191210507265,-43.84183354148685,436.47976748692275,-69.5,58.79083229256575,85.85613099777012,76.3125,1.0454025825780513,1.1112714414564682,1.0620165157051422,810.2279508080156,819.8295202503349,311.87356813449395
254635.84192822297,230902.76671507128,21154.531686220667,2578.5435269310155,95.43377885067417,610775.3347912753,145643.91829671076,261736.4992372982,100816.9143871669,102578.00287009942,0.0,0.0,0.0,0.28304140127388533,49770.0,0.11619963504378104,0.11534856317164723,1.012335178556652,0.041510859877764726,1.105611251913794,0.11919896182087848,1.0077539008142495,0.020128259663970412,92.3611066860285,14.756823864843625,-20.762496385065635,408.18070667902504,-97.5,286.1875180746718,127.46777147446032,84.975,1.0508898483517792,1.1202698599563101,1.065272945603138,810.2174997578087,796.1477928657038,345.0481624641923
254027.67569779546,230995.79754128665,20159.142342133473,2872.735814375327,95.09224040845803,622916.2213779131,146290.0544081453,266327.52573116537,104407.83415513606,105890.80708346641,274.3851468974001,274.3851468974001,0.0,0.28304140127388533,49770.0,0.11644666000331806,0.11574279438757161,1.0151378818968029,0.04503076391396327,1.1089140629697234,0.12447870164448425,1.0106382585648581,0.026993508182586584,92.39831901651466,14.721250637977402,-49.93975774945211,396.98524209494377,-85.0,90.30121125273945,110.77727949705812,88.4125,1.0569774093521638,1.1266070089744893,1.069737192802341,803.2970402022697,813.8586603400258,386.7923787492721
250575.35920420903,227839.66602902146,20424.031936976877,2311.66123821069,94.45646032866627,632281.1463368069,148354.2590000856,274607.0236176359,107297.41070289942,102022.45301618599,653.8253947787554,653.8253947787554,0.0,0.319649262654444,56140.0,0.10767878616464163,0.13018145038963508,1.016785679453193,0.04903054277582682,1.1122508378000113,0.12853396703530576,1.0131702298309004,0.032351805173518565,91.13586641160859,14.954734086939615,-45.32613234555485,481.45610626779376,-81.5,99.36933827222575,91.55309055082613,82.775,1.064305230599239,1.1345501086389027,1.0727465662176576,799.9820238161136,789.056352271505,308.4701481215014
252072.3903642088,229142.1809131116,20420.288703105285,2509.9207479919214,94.0225231164447,643467.5780355792,151551.27201483987,281704.92013815977,110434.81163788933,99776.57424469026,989.0653843546039,989.0653843546039,0.0,0.31287365484256674,54950.0,0.10586566197978999,0.12471680295959307,1.0216655195831204,0.06084391600546785,1.113143256066107,0.13181296260487055,1.0151229676608318,0.03611943323911241,91.65687236524464,15.31820842637842,-15.42773830867147,443.36043518673125,-67.5,192.8613084566427,105.36731370509584,86.075,1.0698323729887091,1.1397504647961711,1.0735331539381867,798.7341260763039,795.2198907962764,338.41456946073356
256959.88288323698,231395.6238664874,22073.472308860433,3490.7867078891345,93.6141897861282,660807.8300736565,155026.14292890433,289831.8621270382,114798.29502275074,101151.52999496314,1768.5037074802892,1768.5037074802892,0.0,0.29732961339178954,52220.0,0.10271055458809744,0.1304378778589584,1.027990732603867,0.07004460833567491,1.1145960369468797,0.13422174151268232,1.01812905275972,0.041200710638115104,92.55824954659496,15.726614869325443,-37.785220271897224,393.194812708429,-67.5,81.0738986405139,103.98379081400651,86.7625,1.0759794671622143,1.147974084355543,1.0790828456904795,809.2011397724756,786.900308153125,463.87771322905013
253016.2169888889,230553.09959674964,20135.237808387523,2327.8795837517246,93.12178204460979,669896.181610561,154090.91898298397,296599.53426156665,117708.14450244038,101497.58386356998,1009.5054768305002,1009.5054768305002,0.0,0.297609561752988,52290.0,0.09296125212382492,0.13934775143896935,1.027668870257889,0.06738169260728544,1.1200201296600634,0.1375221945852955,1.0222437324822045,0.047429149438572675,92.22123983869986,15.048285239339382,-26.885447230226365,456.4574040288319,-52.0,73.57276384886815,105.88623320229581,72.4625,1.08398097268233,1.1549440454368431,1.084282443158545,848.0409558707972,819.4370289235743,306.7110231116387
