all_I,all_w,all_W
70.0,0.7,2.3238969864983368
70.0,0.7,13.602981494995761
70.0,0.7,2.323891311496215
70.0,0.7,2.3274222744129105
70.0,0.7,2.323891305706912
70.0,0.7,15.580529044470646
70.0,0.7,2.3238913057076296
70.0,1.0,30.32389150726153
70.0,0.7,2.323891305706912
70.0,0.7,2.323891444518992
70.0,0.7,2.323891305706921
71.1312,0.711312,2.3711672511285222
100.0,1.0,3.6205689562834973
70.0,0.7,20.990559219200705
80.0,0.7999999999999999,4.4323925451868345
70.0,0.7,17.167199568108337
70.0,0.7,2.3470618619783536
70.0,1.0,2.323891305740883
70.0,0.7,2.323894106951883
70.0,0.7,11.657236415485126
70.0,0.7,7.529463137321175
70.0,1.0,2.3239827311313803
100.0,1.0,3.622567151139071
70.0,0.7,2.323896986232512
70.0,0.76,2.3238913057236665
70.0,0.7,2.3238913061899815
70.0,0.7,2.32389144421769
70.0,0.7,2.3470858027985635
70.0,0.7,2.3238913057069226
70.0,0.7,2.7926295811362714
70.0,0.7,2.323891305723663
70.0,0.7,20.99055797237972
70.0,0.7,2.3238913057069226
100.0,1.0,4.488276518720511
70.0,0.7,12.072015446956438
70.0,0.7,2.323891306394529
70.0,0.7,2.412867444243723
70.0,0.7,3.3097022291004556
70.0,0.7,2.3238913057210624
70.0,0.7,2.3262146950038023
